molecule_chembl_id,canonical_smiles,standard_value,class
CHEMBL156071,NCCCCCCCCCCCCCc1c[nH]cn1,1258.93,intermediate
CHEMBL152122,NCCCCCCCCCCCCc1cccnc1,1258.93,intermediate
CHEMBL24665,NCCc1c[nH]c(-c2cccc(C(F)(F)F)c2)n1,1000.0,active
CHEMBL157842,NCCCCCCCCCCc1cccnc1,2511.89,intermediate
CHEMBL94249,NCCCCCCCCCCc1c[nH]cn1,501.19,active
CHEMBL157217,c1nc(CCCCCCCCCCN2CCCC2)c[nH]1,398.11,active
CHEMBL359122,NCCCCCCCCCCc1ccncc1,2511.89,intermediate
CHEMBL155314,NCCCCCCCCCCCCCCc1c[nH]cn1,1995.26,intermediate
CHEMBL152221,c1nc(CCCCCCCCCCCCN2CCCC2)c[nH]1,3981.07,intermediate
CHEMBL155188,NCCCCCCCCCCCCc1c[nH]cn1,1000.0,active
CHEMBL32813,NCCc1ccccn1,1258.93,intermediate
CHEMBL345185,NCCCCCCCCCc1c[nH]cn1,1995.26,intermediate
CHEMBL1241,CN(C)CCN(Cc1ccccc1)c1ccccn1,39.81,active
CHEMBL90,NCCc1c[nH]cn1,158.49,active
CHEMBL152126,c1nc(CCCCCCCCN2CCCC2)c[nH]1,630.96,active
CHEMBL287052,NCCc1c[nH]c(-c2cccc(Cl)c2)n1,1995.26,intermediate
CHEMBL90063,NCCCCCCCCc1c[nH]cn1,3162.28,intermediate
CHEMBL158352,NCCCCCCCCCCCc1c[nH]cn1,251.19,active
CHEMBL154566,NCCCCCCCCCc1ccccn1,7943.28,intermediate
CHEMBL157273,NCCCCCCCCCCCCc1ccncc1,398.11,active
CHEMBL275507,NCCc1c[nH]c(CCC(c2ccccc2)c2ccccc2)n1,794.33,active
CHEMBL154068,NCCc1c[nH]c(-c2ccc(Cl)c(Cl)c2)n1,50118.72,inactive
CHEMBL511,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,12.59,active
