,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
2,CHEMBL24665,NCCc1c[nH]c(-c2cccc(C(F)(F)F)c2)n1,active,255.24299999999997,2.5967000000000002,2.0,2.0,6.0
4,CHEMBL94249,NCCCCCCCCCCc1c[nH]cn1,active,223.364,3.0317000000000016,2.0,2.0,6.299997602857746
5,CHEMBL157217,c1nc(CCCCCCCCCCN2CCCC2)c[nH]1,active,277.4559999999999,4.168800000000004,1.0,2.0,6.399996913372259
9,CHEMBL155188,NCCCCCCCCCCCCc1c[nH]cn1,active,251.41799999999998,3.8119000000000023,2.0,2.0,6.0
12,CHEMBL1241,CN(C)CCN(Cc1ccccc1)c1ccccn1,active,255.36500000000004,2.649800000000001,0.0,3.0,7.400007822415902
13,CHEMBL90,NCCc1c[nH]cn1,active,111.14799999999998,-0.08910000000000035,2.0,2.0,6.799998134593398
14,CHEMBL152126,c1nc(CCCCCCCCN2CCCC2)c[nH]1,active,249.40199999999996,3.388600000000002,1.0,2.0,6.199998172182031
17,CHEMBL158352,NCCCCCCCCCCCc1c[nH]cn1,active,237.391,3.421800000000002,2.0,2.0,6.599997654072044
19,CHEMBL157273,NCCCCCCCCCCCCc1ccncc1,active,262.441,4.483800000000005,1.0,2.0,6.399996913372259
20,CHEMBL275507,NCCc1c[nH]c(CCC(c2ccccc2)c2ccccc2)n1,active,305.425,3.675600000000003,2.0,2.0,6.0999990348465305
21,CHEMBL154068,NCCc1c[nH]c(-c2ccc(Cl)c(Cl)c2)n1,inactive,256.13599999999997,2.8847000000000005,2.0,2.0,4.300000029139088
22,CHEMBL511,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,active,285.391,2.658400000000001,0.0,4.0,7.899974269892137
23,CHEMBL83220,CN(CC1CC2c3ccccc3Cc3ccccc3N2O1)C(=O)C(F)(F)F,active,376.37800000000004,3.863100000000003,0.0,3.0,6.0
24,CHEMBL313703,c1ccc2c(c1)CN(CC1CC3c4ccccc4Cc4ccccc4N3O1)C2,active,368.48000000000013,4.8582000000000045,0.0,3.0,6.0
25,CHEMBL431458,COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccccc3)C2)cc(OC)c1OC.O=C(O)/C=C/C(=O)O,active,704.843,7.018400000000009,0.0,8.0,6.632644078973981
26,CHEMBL79496,CN(C)C(=O)C1CC2c3ccccc3Cc3ccccc3N2O1,active,308.38100000000003,2.930600000000001,0.0,3.0,6.0
28,CHEMBL94834,COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccc(C(F)(F)F)cc3)C2)cc(OC)c1OC,active,772.84,8.03720000000001,0.0,8.0,6.325138859262188
29,CHEMBL330172,COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4cccnc4)CC3)(c3ccccc3)C2)cc(OC)c1OC,active,687.8410000000001,6.274300000000007,0.0,9.0,6.380906669373258
30,CHEMBL330719,COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccncc4)CC3)(c3ccccc3)C2)cc(OC)c1OC,active,687.8410000000001,6.274300000000007,0.0,9.0,6.54515513999149
31,CHEMBL82714,CN(C)CC1(C)CC2c3ccccc3Cc3ccccc3N2O1,active,308.42500000000007,3.794100000000003,0.0,3.0,7.209996479609511
32,CHEMBL327497,COc1ccc(C2(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)CCN(C(=O)c3ccccc3)C2)cc1OC,active,674.8170000000002,7.009800000000007,0.0,7.0,6.619788758288394
33,CHEMBL330367,CCOc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccc(OC)c(OC)c3)C2)cc(OCC)c1OCC.O=C(O)/C=C/C(=O)O,active,806.9759999999997,8.205900000000009,0.0,10.0,6.801342913045577
34,CHEMBL330366,COc1cc(C(=O)N2CC[C@](CCN3CCC(C(N)=O)(c4ccccc4)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC,inactive,640.6080000000001,5.712300000000005,1.0,6.0,5.0
35,CHEMBL96442,COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccccn4)CC3)(c3ccccc3)C2)cc(OC)c1OC,active,687.8410000000001,6.274300000000007,0.0,9.0,6.436518914605589
36,CHEMBL316705,COC(=O)c1ccccc1OCCCn1c(C(=O)C2CCN(CCC3(c4ccccc4)CCN(C(=O)c4cc(OC)c(OC)c(OC)c4)C3)CC2)nc2ccccc21,active,788.9419999999999,7.086700000000008,0.0,11.0,6.002613615602686
37,CHEMBL79249,c1ccc2c(c1)Cc1ccccc1N1OC(CN3CCOCC3)CC21,active,336.4350000000002,3.1746000000000016,0.0,4.0,7.580044251510242
38,CHEMBL264007,COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccc(F)cc3F)C2)cc(OC)c1OC,active,740.823,7.2966000000000095,0.0,8.0,6.360513510731414
40,CHEMBL311231,c1ccc2c(c1)Cc1ccccc1N1OC(CN3CCNCC3)CC21,active,335.45100000000014,2.747600000000001,1.0,4.0,6.0
41,CHEMBL79838,Clc1cccc(N2CCN(CC3CC4c5ccccc5Cc5ccccc5N4O3)CC2)c1,active,445.99400000000026,5.318000000000006,0.0,4.0,6.0
42,CHEMBL83731,NCC1CC2c3ccccc3Cc3ccccc3N2O1,active,266.344,2.801100000000001,1.0,3.0,6.699991797446187
43,CHEMBL95127,COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccco4)CC3)(c3ccccc3)C2)cc(OC)c1OC,active,676.8140000000002,6.472300000000008,0.0,9.0,6.533132379645891
44,CHEMBL310183,CN(C)CC1CC2c3ccccc3Oc3ccc(Cl)cc3N2O1,active,330.81500000000005,4.258900000000003,0.0,4.0,6.98999702587294
45,CHEMBL81485,CNCC1CC2c3ccccc3Cc3ccccc3N2O1,active,280.371,3.0618000000000016,1.0,3.0,7.969805214643249
46,CHEMBL17157,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,active,471.6850000000001,6.445800000000008,2.0,3.0,6.249491605148654
47,CHEMBL83658,CN(C)CC1CC2c3ccccc3Cc3ccccc3N2O1,active,294.398,3.4040000000000026,0.0,3.0,8.169989064063882
48,CHEMBL431850,COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccccn4)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC.CS(=O)(=O)O,active,756.731,7.58110000000001,0.0,9.0,6.359518563029578
49,CHEMBL16192,COc1ccccc1CN[C@H]1C2CCN(CC2)[C@H]1C(c1ccccc1)c1ccccc1,inactive,412.57700000000006,5.079700000000005,1.0,3.0,5.0
50,CHEMBL81435,O=C1c2ccccc2C(=O)N1CC1CC2c3ccccc3Cc3ccccc3N2O1,active,396.44600000000014,4.138600000000003,0.0,4.0,6.0
51,CHEMBL322194,CCOCCn1c(C(=O)C2CCN(CCC3(c4ccccc4)CCN(C(=O)c4cc(OC)c(OC)c(OC)c4)C3)CC2)nc2ccccc21,active,668.835,5.867500000000007,0.0,9.0,6.419075024324381
52,CHEMBL313189,CN(C)CCC1CC2c3ccccc3Cc3ccccc3N2O1,active,308.42500000000007,3.794100000000003,0.0,3.0,7.079981083971085
53,CHEMBL316438,c1ccc2c(c1)Cc1ccccc1N1OC(CN3CCCC3)CC21,active,320.43600000000015,3.938200000000003,0.0,3.0,8.51999305704285
